host	correlation_r
49	0.605385528
123	0.673709139
6	0.630811982
95	0.621352165
96	0.616308823
124	0.555999303
97	0.544850411
13	0.650475418
101	0.620138156
73	0.561041129
18	0.53691141
23	0.595347581
139	0.585469702
24	0.576383726
26	0.552880941
80	0.579803106
50	0.558424155
65	0.637464807
7	0.60754751
32	0.557304241
66	0.547215093
125	0.544288629
126	0.540809501
102	0.608095103
14	0.588001498
133	0.580906616
72	0.568503009
15	0.55677659
16	0.551825891
17	0.542334765
25	0.566420323
51	0.526035289
52	0.518109523
81	0.492893553
53	0.489492889
82	0.471821533
54	0.461399103
1	0.44523319
111	0.440585645
83	0.437700781
112	0.43484639
84	0.4249864
2	0.419125328
113	0.418757287
85	0.415351935
114	0.407346149
86	0.406952987
3	0.377518064
55	0.36330228
87	0.300452849
56	0.275046359
115	0.258133985
88	0.249261123
57	0.236098522
58	0.20363215
59	0.174191884
89	0.159099972
60	0.061834302
90	0.061813506
116	0.488871355
91	0.301233135
92	0.216948766
61	0.152361906
4	0.113973888
93	0.099566457
117	0.035068009
62	-0.01088678
5	-0.056566728
63	-0.083486021
94	-0.10639688
118	-0.106670377
119	-0.121546707
120	-0.131396482
121	-0.145913876
64	-0.14802359
122	-0.168765698
127	0.526596842
8	0.51931707
98	0.517421523
67	0.498046446
128	0.494856043
68	0.480911287
69	0.468393105
70	0.464947417
9	0.464669972
99	0.461714057
129	0.452773995
71	0.421180077
130	0.42008797
131	0.406797359
100	0.394189255
132	0.387584348
10	0.292743868
11	0.1184938
12	0.106124468
19	0.52780057
74	0.526791569
134	0.525807149
135	0.517144031
136	0.491816096
75	0.489977825
76	0.479721896
103	0.469127134
20	0.458868037
137	0.447102578
21	0.426276032
104	0.426045167
105	0.386411755
106	0.362589083
107	0.357385144
138	0.355200321
108	0.343072277
33	0.322496565
22	0.21849335
77	0.077083398
109	0.528020622
34	0.523780053
27	0.513435637
28	0.507670738
140	0.505746461
29	0.499280104
35	0.496731785
78	0.496419592
36	0.485855585
79	0.476917257
37	0.476568058
110	0.473717341
30	0.468059517
31	0.453092718
141	0.452222075
38	0.448323301
39	0.445515392
40	0.422929088
41	0.406264114
42	0.400755773
43	0.396524553
44	0.375082463
45	0.342370337
46	0.273833677
47	0.164807888
48	0.059748258
