	Virus	Host
SY3_FDME210455399-2a	0.033228153	0.049086185
DY11_FDME210438609-1r	0.045134667	0.787212131
LYG1_FDME210455382-1r	0.071811965	2.124982998
LYG3_FDME210455384-1r	0.145824106	3.261164884
DY2_FDME210438600-1b	0.172518364	0.717590913
DY10_FDME210438608-1r	0.195975543	0.832822481
DY6_FDME210438604-1r	0.200590543	0.68300985
DY13_FDME210438611-1b	0.205302218	1.355625774
CXD_0214_FDSW210423216-1r	0.24002077	1.808132851
DY15_FDME210438613-1r	0.24413139	0.780967819
CXD_1613_FDSW210423245-1r	0.248023065	1.789789482
CXD_1612_FDSW210423244-1r	0.276848513	1.828937887
CXD_1401_FDSW210423218-1r	0.290374269	1.952857775
DY7_FDME210438605-1r	0.32845046	0.60806347
CXD_0213_FDSW210423215-1r	0.344682315	2.033999098
CXD_1004_FDSW210423176-1r	0.357146342	1.780698485
CXD_1610_FDSW210423242-1r	0.367834348	1.502218072
CXD_0801_FDSW210423161-1r	0.380395284	1.500717783
CXD_1402_FDSW210423219-1r	0.392854895	1.544888217
CXD_0204_FDSW210423206-1r	0.430967289	2.16996459
CXD_1001_FDSW210423173-1r	0.437156027	1.823341375
CXD_0803_FDSW210423163-1r	0.440066659	1.37007473
CXD_1611_FDSW210423243-1r	0.447829864	1.893138142
N20_FDSW202534408-1r	0.513330479	1.658047114
S50_FDSW202534397-1r	0.518141073	1.611843036
CXD_0805_FDSW210423165-1r	0.525277678	1.718620671
CXD_1003_FDSW210423175-1r	0.529228741	1.754345829
W50_FDSW202534403-1r	0.542738742	1.82669382
S100_FDSW202534398-1r	0.547216077	1.748029955
W150_FDSW202534405-1r	0.548474374	1.700817022
CXD_0210_FDSW210423212-1r	0.548975189	2.162175782
A1-20-normal	0.549892114	2.77911559
WZ7_FDME210455463-1r	0.567072057	2.010983962
CXD_1007_FDSW210423179-1r	0.571827759	1.869723622
CXD_0215_FDSW210423217-1r	0.577738538	2.273192502
NB2_FDME210455353-1r	0.584783924	4.083650909
CXD_0807_FDSW210423167-1r	0.631943905	1.921563096
CXD_1201_FDSW210423188-1r	0.646885032	2.281546241
S10_FDSW202534395-1r	0.648634422	1.970590538
S150_FDSW202534399-1r	0.664478887	1.965207374
W20_FDSW202534402-1r	0.668604006	1.878193316
CXD_1009_FDSW210423181-1r	0.686265034	2.767123593
WZ10_L1	0.692871597	3.190684475
W10_FDSW202534401-1r	0.694015801	2.034721434
YC1_FDME220007405-1r	0.722256329	3.144435289
CXD_1202_FDSW210423189-1r	0.728125432	2.303666266
WZ1_L1	0.751211713	3.526098885
C1_FDSW202534412-1r	0.756898095	2.146571419
CXD_1215_FDSW210423202-1r	0.784194604	2.497847773
N5_FDSW202534406-1r	0.793187096	2.219863454
CXD_0804_FDSW210423164-1r	0.795073956	2.307921401
CXD_1203_FDSW210423190-1r	0.814008347	1.97661298
WZ5_L1	0.846875772	3.875656094
YC3_FDME220007407-1r	0.863884789	3.314418383
W100_FDSW202534404-1r	0.86754397	2.241873648
A5-100-normal	0.871593387	3.616037963
CXD_1609_FDSW210423241-1r	0.878026725	3.685528978
CXD_1412_FDSW210423229-1r	0.882769451	3.62141439
W5_FDSW202534400-1r	0.898080208	2.146933181
S20_FDSW202534396-1r	0.909867037	2.03251712
CXD_0209_FDSW210423211-1r	0.911908213	3.082028235
S5_FDSW202534394-1r	0.921520499	2.269569391
WZ3_L1	0.928460835	3.345418195
WZ14_L1	0.942213408	3.105973856
E20_FDSW202534390-1r	0.960360239	2.593302826
B3-100-normal	0.961356064	3.594283294
