id,name,type,shape
1,Asfarviridae,Virus,NCLDV
2,Iridoviridae,Virus,NCLDV
3,Marseilleviridae,Virus,NCLDV
4,Pithoviridae,Virus,NCLDV
5,Mimiviridae/extended_Mimiviridae,Virus,NCLDV
6,Pandoraviridae,Virus,NCLDV
7,Prasinoviridae,Virus,NCLDV
8,Unassigned_Algavirales,Virus,NCLDV
9,Discoba,Protozoa,Euk
10,Bigyra,Protozoa,Euk
11,Choanoflagellata,Protozoa,Euk
12,Amoebozoa,Protozoa,Euk
13,Arthropoda,Animal,Euk
14,Ascomycota,Fungi,Euk
15,Basidiomycota,Fungi,Euk
16,Chytridiomycota,Fungi,Euk
17,Mucoromycota,Fungi,Euk
18,Chlorophyta,Algae,Euk
19,Dinophyceae,Algae,Euk
20,Haptophyta,Algae,Euk
21,Rhodophyta,Algae,Euk
22,Streptophyta,Algae,Euk
23,Bacillariophyta,Algae,Euk
