	CXD_1412_FDSW210423229-1r-1	CXD_1414_FDSW210423231-1r-1	CXD_1610_FDSW210423242-1r-1	CXD_1613_FDSW210423245-1r-1	CXD_1611_FDSW210423243-1r-1	CXD_1612_FDSW210423244-1r-1	CXD_1604_FDSW210423236-1r-1	CXD_1609_FDSW210423241-1r-1	WZ7_FDME210455463-1r	WZ15_FDME210455471-1r	WZ11_L1	WZ1_L1	WZ3_L1	WZ14_L1	WZ5_L1	WZ10_L1	NB2_FDME210455353-1r	NB1_FDME210455352-1r	NB7_FDME210455358-1r	NB15_FDME210455366-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	DD3_FDSW220008390-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD13_FDSW220008400-2r	DD5_FDSW220008392-2r	DD9_FDSW220008396-1r	DD7_FDSW220008394-1r	DD11_FDSW220008398-1r	YC11_FDME220007415-1r	YC5_FDME220007409-1r	YC3_FDME220007407-1r	YC13_FDME220007417-1r	YC9_FDME220007413-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC7_FDME220007411-1a	ZH1_FDSW220008784-1r	ZH5_FDSW220008788-1r	ZH9_FDSW220008792-2r	ZH3_FDSW220008786-1r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH7_FDSW220008790-1r	ZH11_FDSW220008794-2r	BH10_FDSW220017130-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH8_FDSW220017128-1r	BH6_FDSW220017126-1r	BH12_FDSW220017132-1r	DY7_FDME210438605-1r	DY2_FDME210438600-1b	DY10_FDME210438608-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY6_FDME210438604-1r	DY11_FDME210438609-1r	SY9_FDME210455405-2a	SY12_FDME210455408-1r	SY15_FDME210455411-2a	SY3_FDME210455399-2a	SY13_FDME210455409-2a	SY7_FDME210455403-2a	SY11_FDME210455407-1r	ST1_FDME220007465-1r	ST9_L1	ST13_L1	ST15_L1	ST7_FDME220007471-1r	ST10_L1	ST3_L1	ST12_L1	XM12_FDME220007446-1r	XM2_FDME220007436-1r	XM15_FDME220007449-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	XM4_FDME220007438-1r	XM10_FDME220007444-1r	XM14_FDME220007448-1r	LYG13_FDME210455394-1a	LYG3_FDME210455384-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG1_FDME210455382-1r	LYG5_FDME210455386-1r	LYG11_FDME210455392-2r	CXD_1414_FDSW210423231-1r	CXD_1015_FDSW210423187-1r	CXD_1214_FDSW210423201-1r	CXD_1213_FDSW210423200-1r	CXD_1415_FDSW210423232-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_1604_FDSW210423236-1r	CXD_1408_FDSW210423225-1r	CXD_1609_FDSW210423241-1r	CXD_1401_FDSW210423218-1r	CXD_0801_FDSW210423161-1r	CXD_1402_FDSW210423219-1r	CXD_1610_FDSW210423242-1r	CXD_1613_FDSW210423245-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_0215_FDSW210423217-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0204_FDSW210423206-1r	CXD_0807_FDSW210423167-1r	CXD_0805_FDSW210423165-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1003_FDSW210423175-1r	CXD_1215_FDSW210423202-1r	CXD_1202_FDSW210423189-1r	CXD_1001_FDSW210423173-1r	CXD_1201_FDSW210423188-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_1203_FDSW210423190-1r	CXD_1412_FDSW210423229-1r	A1-20-normal	B5-40-normal	B5-80-normal	A3-60-normal	B1-60-normal	A5-60-normal	B3-80-normal	C3-80-normal	C3-60-normal	A3-80-normal	B3-60-normal	C1-60-normal	A5-40-normal	C3-40-normal	C1-40-normal	B1-80-normal	A3-20-normal	C5-40-normal	C1-20-normal	B3-40-normal	B5-20-normal	C5-60-normal	A1-100-normal	A1-60-normal	A1-80-normal	C1-80-normal	B5-100-normal	C5-100-normal	A3-100-normal	A5-80-normal	C5-80-normal	C3-100-normal	A1-40-normal	C1-100-normal	A5-100-normal	B3-100-normal	B1-20-normal	B1-40-normal	A5-20-normal	C5-20-normal	C3-20-normal	B3-20-normal	B5-60-normal	A3-40-normal	B1-100-normal
GD_ZH_2021_05_15_bin_1	0	1.424600985	0	0	0.970916332	0	0	0	0	0	0	0	0	0	0	0	0	2.796002595	2.55405761	1.478555672	3.879809946	4.144004436	2.556534149	3.008751398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.750468786	9.697045764	28.15589474	11.59169968	11.70725578	11.3712574	15.95480549	18.39511536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.424600985	1.622470051	0	2.275201748	0	0	0	0	0	0	0	0	0	0	0	0	0.970916332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908885025	3.611602732	3.340040299	1.048331754	3.935493937	5.266463756	3.049887687	2.317394061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.86316443	14.28736528	13.14324728	10.17449591	12.62178199	12.33673237	11.20689155	13.55508943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.611029302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.79751659	23.08175044	7.389182821	9.177781605	19.25285217	2.197328567	2.963487735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.854354816	0	0	1.516121928	2.304322751	2.630879968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.048404192	2.229978445	1.513857029	1.269379292	1.450821354	2.20283394	1.764667686	0.948290569	2.25162672	0	0	1.295264347	0	1.768857993	0	0	0	0	1.422166448	0	0	1.625561751	0.98593834	1.636647639	3.414194743	0	0	1.386961674	0.909241316	0	0	0.954055723	0	0.977343768	0	0.679115763	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.03420078	0	0	2.621280604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_5	0	1.068500954	0	0	0	0	0	0.799570759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.405187894	6.117840508	2.613321089	3.647523644	6.338936858	6.259835906	3.626755459	5.539741103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.164236589	18.71167003	6.432400659	2.776518153	10.71798098	7.502258557	8.973909654	1.068500954	0.973687605	1.033558045	1.074973226	0.905292702	1.017986923	0	0.764740637	0	0.975607954	0.799570759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.305267708	2.218528174	2.419157074	3.245718794	2.253258696	1.912218489	2.055308612	2.296027001	2.617606525	2.111863205	2.741333676	2.398535631	3.092582686	3.048437375	2.680861886	1.325675003	1.80145485	2.518980877	2.097542161	2.243593102	1.84858344	0	1.464114422	1.089438075	1.481331443	0	0.834313582	1.203206263	1.077609735	0	1.079653	1.084803752	0	0	0	1.154018786	1.497927211	1.347218221	1.057961863	1.146295839	1.12960482	1.056390141	1.297701854	0.957938425
JS_YC_2021_05_15_bin_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.26926407	16.44630735	0	14.33387518	2.22829786	2.223154495	0	4.549496892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.68719127	18.31108641	13.73153371	10.19703113	19.82983774	8.424874548	5.620806491	10.12000693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.96026096	123.4918984	145.6216976	13.09685531	33.59761174	34.4269435	11.45898178	7.666325387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.25746493	6.670147772	7.348049502	13.8578561	10.40718041	15.86716319	12.11393882	17.37193493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.67164558	1.60638641	1.04538637	5.319242336	1.276463059	4.305358217	2.01372151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.839459699	4.158063168	3.552541943	4.311950066	9.345138011	7.035759688	2.656731773	3.802205038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.53230936	2.523338177	16.98704898	26.94159522	7.785590802	6.78402793	7.067386051	9.527949659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
