	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
GD_ST_2021_04_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_2	0	1.048929247	0	0	0	0	0	1.011985226	0	1.490563776	1.572169884	0.900854912	1.77723703	0	0	2.101752671	1.971506617	1.077869727	0.988009925	1.975808516	1.694745705	1.185768015	1.262630691	2.177409012	0	0	0	0	1.257727691	1.942165948	0	0	0	0	0	0
GX_BH_2021_04_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GX_BH_2021_04_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GX_BH_2021_04_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_1	0	0	0	0	0	0	0.993693461	1.007041542	0	0	0	1.444054294	1.557392458	0	0	1.968963364	1.644630973	1.561895308	0	0	0	0	0	0	0	0	0	0	2.518997977	2.076072477	0	0	0	0	0	0
SD_QD_2020_06_15_bin_10	1.362350573	2.258120515	0.914302642	1.272742049	1.924141225	1.881283448	4.113280128	2.550948628	1.867589007	2.770273956	3.398187141	3.052530767	5.621688147	3.376295039	1.161249746	3.989244308	3.659431269	3.270071931	3.841480507	3.322232291	3.208123008	2.515217637	2.62341335	3.111108718	0	1.233454768	0	2.458343223	3.90899862	5.40698792	2.189168723	2.23895694	2.365759178	2.222169387	2.104875035	1.556639634
SD_QD_2020_06_15_bin_27	0	0	0	0	0	0	0	0	0	0	1.300892844	0.916920245	0	0	0.991282513	3.35127972	1.600212332	0	1.160466165	2.697212483	1.281813805	0	0.887223231	1.30164972	0	0	0	1.204349522	2.773653631	5.382936962	3.003696542	0	4.397382615	2.966155136	2.739574043	3.131569255
