,Temperature,Salinity,pH,NH4 (g/kg),NO3 (g/kg),NO2 (g/kg),TN (g/kg),TP (g/kg),SO4 (g/kg)
BH10_FDSW220017130_1r,23,2.9,7.58,0.002473596,0.0423666,0.000244535,1.573929,0.02424625,1.82647875
BH12_FDSW220017132_1r,21,4.8,7.57,0.004449132,0.0387747,0.000120959,1.5404046,0.030073313,2.63019875
BH14_FDSW220017134_1r,22,4.3,7.5,0.003868092,0.0459585,0.000105512,1.4565936,0.021179375,2.44341875
BH15_FDSW220017135_1r,23,2.5,7.58,0.004158612,0.0567342,0.000120959,1.3644015,0.015659,2.33587875
BH2_FDSW220017122_1r,25,2.3,7.88,0.002357388,0.0351828,0.000097788,1.4817369,0.002471438,2.12079875
BH4_FDSW220017124_1r,23,2.2,7.77,0.002066868,0.0495504,0.000113235,1.490118,0.020872688,2.08683875
BH6_FDSW220017126_1r,21,4.5,7.72,0.002938428,0.0351828,0.000113235,1.6828833,0.019645938,2.52265875
BH8_FDSW220017128_1r,21,4.1,7.5,0.00282222,0.0567342,0.000151853,1.6996455,0.018725875,2.54529875
C1_FDSW202534412_1r,24.1,3.8,8.25,0.003418127,0.08124124,0.000622497,1.10118064,0.02279732,1.894474795
CXD_0204_FDSW210423206_1r,2,5.12,8.56,0.002763174,0.029516347,0.000471291,1.27220985,0.011058611,3.982505338
CXD_0209_FDSW210423211_1r,1,3.07,8.15,0.00338455,0.029516347,0.000393855,2.428802005,0.022099297,2.273370313
CXD_0210_FDSW210423212_1r,0,5.41,8,0.003850582,0.021135244,0.000402459,1.171636619,0.00676501,5.702959138
CXD_0213_FDSW210423215_1r,0,5.5,8.45,0.001416859,0.155232886,0.000531519,1.515261824,1.79E-05,3.761789225
CXD_0214_FDSW210423216_1r,-1,5.94,8.35,0.00302208,0.021135244,0.000514311,1.180017721,0.007991753,4.237177775
CXD_0215_FDSW210423217_1r,0,5.98,8.28,0.003073862,0.029516347,0.000514311,1.498499619,0.017805697,3.948549013
CXD_0801_FDSW210423161_1r,27,1.93,8.14,0.003488113,0.012754142,0.000393855,1.582310645,0.013205411,1.89419135
CXD_0802_FDSW210423162_1r,28.3,2.92,8.18,0.001520421,0.021135244,0.000350835,1.724789389,0.017499011,1.430121575
CXD_0803_FDSW210423163_1r,28.3,2.29,8.39,0.010633939,0.029516347,0.000187359,1.263828747,0.004004839,1.2377024
CXD_0804_FDSW210423164_1r,28,2.33,8.29,0.004109489,0.021135244,0.000419667,1.548786235,0.003698153,1.865894413
CXD_0805_FDSW210423165_1r,28,1.46,8.4,0.004989772,0.012754142,0.000497103,1.490118517,0.007685067,0.915117313
CXD_0807_FDSW210423167_1r,28.4,1.35,8.31,0.00954653,0.03789745,0.000307815,1.464975209,0.013512096,0.76231385
CXD_1001_FDSW210423173_1r,18,3.67,7.93,0.001261515,0.029516347,0.000574539,1.850505927,0.011058611,4.050417988
CXD_1003_FDSW210423175_1r,18,6.11,8.04,0.000381232,0.021135244,0.000497103,1.615835055,0.010751925,3.790086163
CXD_1004_FDSW210423176_1r,16,3.51,8,0.000950826,0.03789745,0.000488499,2.168987825,0.00247141,3.043047013
CXD_1007_FDSW210423179_1r,19,2.93,8.2,0.002763174,0.046278552,0.000256191,1.800219312,0.021792611,2.448811325
CXD_1009_FDSW210423181_1r,17,3.03,7.96,0.002141797,0.03789745,0.000350835,1.825362619,0.004924896,2.8223309
CXD_1015_FDSW210423187_1r,17,2.58,7.55,0.002038235,0.021135244,0.000505707,2.269561056,0.011365296,3.167553538
CXD_1201_FDSW210423188_1r,4,2.97,8.49,0.002193579,0.021135244,0.000729411,0.584959439,0.02952485,4.073055538
CXD_1202_FDSW210423189_1r,3,3.87,8.62,0.001520421,0.03789745,0.000548727,1.691264978,0.01409276,4.1353088
CXD_1203_FDSW210423190_1r,3,2.96,8.53,0.001675765,0.03789745,0.000522915,1.56554844,0.023211722,4.3164092
CXD_1213_FDSW210423200_1r,5,4.74,8.23,0.000225888,0.054659655,0.000488499,2.21927444,0.020055158,3.75047045
CXD_1214_FDSW210423201_1r,5,3.08,8.39,0.000381232,0.130089578,0.000514311,1.875649235,0.018652241,3.835361263
CXD_1215_FDSW210423202_1r,3,3.05,8.43,0.000174106,0.046278552,0.000548727,1.934316953,0.025666827,4.095693088
CXD_1401_FDSW210423218_1r,15,4.34,8.2,0.003566159,0.037791736,0.000330745,1.573929542,0.021107346,4.118330638
CXD_1402_FDSW210423219_1r,14,3.47,8.19,0.002974594,0.029431776,0.000268792,1.56554844,0.020756617,3.988164725
CXD_1408_FDSW210423225_1r,14,2.99,8.14,0.005771086,0.021071816,0.000182058,1.89241144,0.008481091,2.737440088
CXD_1412_FDSW210423229_1r,13,2.22,8.34,0.005071963,0.029431776,0.00021923,1.548786235,0.019704429,2.216776438
CXD_1414_FDSW210423231_1r,12,3.14,8.16,0.00560975,0.004351897,0.00044226,1.724789389,0.020405888,2.39221745
CXD_1415_FDSW210423232_1r,15,4.4,8.09,0.006954218,0.004351897,0.000144887,1.900792543,0.013040572,3.971186563
CXD_1604_FDSW210423236_1r,25,4.52,8.18,0.001054389,0.029516347,0.000608955,1.180017721,0.017499011,3.450522913
CXD_1609_FDSW210423241_1r,25,2.67,7.96,0.003436331,0.063040757,0.000273399,1.30573426,0.014125468,2.827990288
CXD_1610_FDSW210423242_1r,26,4.69,8.11,0.003643457,0.054659655,0.000514311,1.724789389,0.011058611,3.495798013
CXD_1611_FDSW210423243_1r,25,2.31,8.36,0.00069192,0.029516347,0.000514311,1.607453953,0.021485926,2.307326638
CXD_1612_FDSW210423244_1r,24,4.54,8.1,0.002141797,0.029516347,0.000488499,1.657740568,0.015658897,3.603326375
CXD_1613_FDSW210423245_1r,24,3.11,8.16,0.001572203,0.046278552,0.000471291,1.473356311,0.019952497,3.34299455
DD1_FDSW220008388_1r,22,3.2,8.21,0.003228948,0.0423666,0.000113235,1.3811637,0.013512188,1.91137875
DD13_FDSW220008400_2r,22,3.8,7.96,0.00572742,0.0459585,0.000082341,2.1689871,0.011365375,1.79817875
DD3_FDSW220008390_2r,23,2.6,8.46,0.008109684,0.0495504,0.000051447,2.0348895,0.010138625,1.34537875
DD5_FDSW220008392_2r,24,2.8,8.24,0.006134148,0.0351828,9.01E-05,1.7499321,0.046941125,1.23783875
DD7_FDSW220008394_1r,22,2.7,7.91,0.003461364,0.0890613,0.000105512,1.7080266,0.025473,1.65667875
DD9_FDSW220008396_1r,23,2.5,8.1,0.004623444,0.1285722,0.000066894,1.741551,0.028539875,1.65101875
DY10_FDME210438608_1r,25,1.1,8.37,0.001195308,0.0854694,7.46E-05,1.1632551,0.007991813,1.52083875
DY11_FDME210438609_1r,25,1.8,8.35,0.000962892,0.0531423,4.37E-05,1.3141149,0.006458375,1.29443875
DY13_FDME210438611_1b,23,1.9,8.31,0.000672372,0.0531423,0.000051447,1.4230692,0.00216475,1.33405875
DY15_FDME210438613_1r,24,1.4,8.24,0.000904788,0.0926532,4.37E-05,1.4482125,0.010138625,1.46423875
DY2_FDME210438600_1b,23,1.3,8.41,0.000962892,0.0351828,0.000036,0.9621087,0.0230195,1.63403875
DY6_FDME210438604_1r,24,1.9,8.33,0.001195308,0.0603261,5.92E-05,1.1632551,0.007685125,1.24915875
DY7_FDME210438605_1r,23,1.2,8.41,0.001543932,0.0746937,7.46E-05,1.0794441,0.004924938,1.56045875
E10_FDSW202534389_1r,23.8,4.8,8.03,0.003609155,0.08822004,9.20E-05,1.16629576,0.01659098,1.899922545
E100_FDSW202534392_1r,23.4,9.51,8.03,0.007063578,0.08752216,0.000659946,1.30892888,0.03417561,2.461040795
E150_FDSW202534393_1r,23.5,9.12,8.09,0.007811771,0.08054336,0.000541358,1.84845416,0.04215519,2.442518445
E20_FDSW202534390_1r,24.3,5.75,8.17,0.004341429,0.07426244,0.000129419,1.3585404,0.01644321,1.951131395
E5_FDSW202534388_1r,23.8,4.88,8.14,0.004723485,0.06937728,0.000347871,1.34613752,0.01673875,1.989265645
E50_FDSW202534391_1r,24.1,7.99,8.17,0.006745198,0.12171828,0.000447735,1.46474006,0.01481774,1.879221095
LYG1_FDME210455382_1r,27,1.9,8.62,0.002357388,0.0315909,7.46E-05,1.490118,0.022712813,1.58309875
LYG11_FDME210455392_2r,27,3.4,8.77,0.003345156,0.0423666,0.000036,1.7164077,0.013512188,2.16607875
LYG13_FDME210455394_1a,29,2.5,8.7,0.003577572,0.0495504,0.000144129,1.8002187,0.022099438,1.67931875
LYG3_FDME210455384_1r,27,2,8.77,0.008109684,0.0459585,7.46E-05,1.6158345,0.007685125,1.99061875
LYG5_FDME210455386_1r,27,1.6,8.8,0.003170844,0.0315909,0.000066894,1.7918376,0.011672063,1.75289875
LYG6_FDME210455387_1r,27,3.4,8.62,0.007644852,0.0387747,0.000066894,1.4230692,0.017499125,2.27927875
LYG7_FDME210455388_1r,26,2.6,8.63,0.005959836,0.0387747,0.000128682,1.9343163,0.015045625,2.06985875
N10_FDSW202534407_1r,20.1,3.96,8.2,0.005408002,0.07286668,0.00013566,1.30892888,0.02826481,1.829101795
N100_FDSW202534410_1r,23.1,8.51,8.01,0.00671336,0.082637,0.000672429,1.47946848,0.03639216,2.342279845
N150_FDSW202534411_1r,23.4,3.27,8.12,0.004229996,0.08124124,0.00075981,1.63140376,0.03521,2.203906995
N20_FDSW202534408_1r,23,2.79,8.07,0.003704669,0.08333488,0.000154385,1.53528144,0.0233884,1.350789345
N5_FDSW202534406_1r,23.6,3.83,8.27,0.002526663,0.0791476,0.000060762,1.28257276,0.02058077,1.509863645
N50_FDSW202534409_1r,23.6,8.08,8.03,0.008735073,0.06937728,0.000248007,1.4205548,0.01393112,2.175578695
NB1_FDME210455352_1r,22,5,8.02,0.004216716,0.0387747,0.000082341,1.6158345,0.001244688,2.45473875
NB11_FDME210455362_1b,24,4.2,8.12,0.003170844,0.0459585,0.000066894,1.2470661,0.010445313,2.55661875
NB12_FDME210455363_1r,23,4.1,8.13,0.003228948,0.0675099,0.000097788,1.3644015,0.005845,2.24531875
NB15_FDME210455366_1r,22,4.1,8.17,0.00340326,0.0459585,0.000120959,1.2722094,0.001858063,2.36417875
NB2_FDME210455353_1r,22,5.6,8,0.004158612,0.0423666,0.000244535,1.3727826,0.001858063,2.59057875
NB4_FDME210455355_1r,23,5.6,7.98,0.002996532,0.0423666,7.46E-05,1.322496,0.002778125,2.72075875
NB6_FDME210455357_1r,22,5.4,8.06,0.003228948,0.0495504,0.000082341,1.1045874,0.005231625,2.71509875
NB7_FDME210455358_1r,24,4.9,8.04,0.003461364,0.0603261,7.46E-05,1.2051606,0.004004875,2.50567875
S10_FDSW202534395_1r,24.6,3.92,8.16,0.00591741,0.08752216,0.000035796,1.14459072,0.02161516,1.336625195
S100_FDSW202534398_1r,25.1,4.47,8.12,0.003672831,0.07635608,0.000198075,1.31357996,0.01969415,1.789877995
S150_FDSW202534399_1r,23.4,3.94,8.07,0.003067909,0.08682428,0.000254249,1.77403688,0.0219107,1.735400495
S20_FDSW202534396_1r,23.5,3.88,8.18,0.005742301,0.07286668,2.96E-05,1.19110152,0.02013746,1.468460745
S5_FDSW202534394_1r,24.5,4.47,8.09,0.003481803,0.07496032,9.20E-05,1.46086416,0.01792091,1.557803845
S50_FDSW202534397_1r,23.3,3.54,8.31,0.003258937,0.08473064,2.33E-05,1.20970584,0.02072854,1.446669745
ST1_FDME220007465_1r,22,5.6,8.04,0.007354332,0.0315909,0.000198194,2.0013651,0.060435375,2.65849875
ST10_L1,19,3.4,7.99,0.007528644,0.0459585,0.000120959,1.6661211,0.025473,2.29059875
ST12_L1,19,3,7.84,0.007238124,0.0423666,0.000128682,1.4649747,0.028539875,2.16607875
ST13_L1,21,3.8,7.86,0.007528644,0.0603261,0.000144129,1.8588864,0.017805813,2.41511875
ST15_L1,22,2.7,8,0.007935372,0.0387747,0.000105512,0.8112489,0.024859625,2.13777875
ST3_L1,23,5.7,8.06,0.013106628,0.0495504,0.000229088,1.4984991,0.02669975,2.75471875
ST7_FDME220007471_1r,22,5.2,7.56,0.012525588,0.0387747,0.00019047,1.8840297,0.010445313,2.59057875
ST9_L1,23,5.8,7.73,0.011479716,0.0423666,0.000151853,1.6242156,0.074236313,2.77735875
SY11_FDME210455407_1r,26,2,8.3,0.003519468,0.0423666,0.000066894,1.8924108,0.01933925,1.22651875
SY12_FDME210455408_1r,25,1.9,8.75,0.00485586,0.0459585,0.00019047,1.4314503,0.008911875,1.35669875
SY13_FDME210455409_2a,24,1.8,8.63,0.009039348,0.0782856,7.46E-05,2.0516517,0.00461825,1.40197875
SY15_FDME210455411_2a,24,2.2,8.58,0.011654028,0.063918,0.000066894,2.6467098,0.041727438,1.66233875
SY3_FDME210455399_2a,26,1.9,8.61,0.009039348,0.0567342,0.000221364,1.4314503,0.005538313,1.57177875
SY7_FDME210455403_2a,25,1.8,8.67,0.012525588,0.0531423,0.000105512,1.8002187,0.011058688,1.28877875
SY9_FDME210455405_2a,26,2,8.75,0.004972068,0.0351828,7.46E-05,1.7918376,0.016272375,1.28311875
W10_FDSW202534401_1r,24.5,3.82,8.13,0.003481803,0.0756582,0.000447735,1.53993252,0.02353617,1.540371045
W100_FDSW202534404_1r,23.8,4.05,8.22,0.001523766,0.07286668,0.000266732,1.39419868,0.02146739,1.671117045
W150_FDSW202534405_1r,23.4,2.96,8.09,0.002478906,0.07775184,0.000297939,1.51667712,0.02841258,1.077312295
W20_FDSW202534402_1r,23.8,3.49,8.22,0.003179342,0.07077304,0.000191834,1.22210872,0.02353617,1.695087145
W5_FDSW202534400_1r,24.9,4.29,8.21,0.002781367,0.08403276,6.08E-05,1.45776344,0.02353617,1.865056945
W50_FDSW202534403_1r,23.7,3.56,8.02,0.004023049,0.07077304,0.000116936,1.44148466,0.02412725,1.211326945
WZ1_L1,31,4.4,7.85,0.003345156,0.0531423,0.000082341,1.3057338,0.00461825,2.77169875
WZ10_L1,29,5.5,7.84,0.004913964,0.0459585,0.000066894,1.1297307,0.003084813,2.61321875
WZ11_L1,25,4.6,7.78,0.004681548,0.0423666,0.000082341,1.4984991,0.00461825,2.66415875
WZ14_L1,25,5,7.84,0.007702956,0.0423666,0.000120959,1.406307,0.004311563,2.73773875
WZ15_FDME210455471_1r,23,5.1,7.73,0.00224118,0.0423666,7.46E-05,1.1213496,0.004004875,2.72641875
WZ3_L1,31,4.4,7.84,0.003577572,0.0675099,7.46E-05,1.0459197,0.008911875,2.30757875
WZ5_L1,31,5.5,8.49,0.002299284,0.0459585,0.000066894,1.0207764,0.007378438,2.84527875
WZ7_FDME210455463_1r,29,4.6,7.82,0.00311274,0.0531423,0.000082341,1.3141149,0.005231625,2.65849875
XM10_FDME220007444_1r,19,7.8,7.87,0.020369628,0.0567342,0.000128682,0.7777245,0.017499125,2.86791875
XM12_FDME220007446_1r,20,8,7.6,0.013048524,0.0531423,0.000136406,1.5152613,0.017499125,2.94149875
XM14_FDME220007448_1r,20,7.2,7.66,0.014094396,0.0567342,0.000144129,1.2470661,0.01688575,2.65849875
XM15_FDME220007449_1r,21,8.5,7.55,0.014501124,0.0675099,0.000136406,0.6101025,0.0181125,2.53963875
XM2_FDME220007436_1r,20,5.1,7.86,0.009852804,0.0387747,0.000151853,1.1381118,0.030686688,2.79999875
XM4_FDME220007438_1r,20,7.9,7.69,0.01647666,0.0531423,0.000175023,1.6661211,0.015659,2.94715875
XM6_FDME220007440_1r,21,8.5,7.83,0.014559228,0.1070208,0.000175023,1.1883984,0.017499125,2.69245875
XM8_FDME220007442_1r,21,7.9,7.9,0.018742716,0.0351828,0.000113235,1.5655479,0.015045625,2.63585875
YC1_FDME220007405_1r,24,2.9,8.06,0.005262588,0.0315909,0.000051447,1.3811637,0.005538313,1.30575875
YC11_FDME220007415_1r,25,3.9,7.94,0.006134148,0.0351828,0.000051447,1.2051606,0.005845,1.54347875
YC13_FDME220007417_1r,24,3.6,8.22,0.006657084,0.0459585,7.46E-05,1.2219228,0.005538313,1.63403875
YC15_FDME220007419_1r,23,3.8,8.22,0.002996532,0.0423666,0.000051447,1.5906912,0.002778125,1.48121875
YC3_FDME220007407_1r,23,2.8,8.13,0.003577572,0.0459585,0.000051447,1.1129685,0.0033915,1.22085875
YC5_FDME220007409_1r,24,3.3,7.96,0.005553108,0.0315909,4.37E-05,1.4649747,0.00461825,1.50951875
YC7_FDME220007411_1a,24,3.2,7.98,0.006192252,0.0603261,0.000066894,1.3392582,0.022099438,1.59441875
YC9_FDME220007413_1r,25,3.8,8.01,0.007121916,0.0423666,5.92E-05,1.3895448,0.018725875,1.75855875
ZH1_FDSW220008784_1r,24,2.9,7.59,0.00601794,0.0531423,0.000097788,1.490118,0.005231625,1.59441875
ZH11_FDSW220008794_2r,22,3,7.71,0.006540876,0.0675099,9.01E-05,1.909173,0.004004875,2.21701875
ZH13_FDSW220008796_2r,25,3,7.69,0.007528644,0.0423666,0.000097788,1.741551,0.004924938,2.19437875
ZH15_FDSW220008798_2r,23,3.1,7.8,0.005088276,0.0603261,0.000113235,1.406307,0.003698188,2.03023875
ZH3_FDSW220008786_1r,22,4,7.96,0.006773292,0.0603261,0.000113235,1.8840297,0.009218563,2.14343875
ZH5_FDSW220008788_1r,22,2.9,7.54,0.006424668,0.0423666,0.000082341,2.0684139,0.005845,1.69063875
ZH7_FDSW220008790_1r,23,3.7,7.8,0.007238124,0.0423666,0.000097788,1.9678407,0.003698188,2.08683875
ZH9_FDSW220008792_2r,23,3.6,7.85,0.007528644,0.0387747,9.01E-05,1.8672675,0.005538313,2.30757875
