,X,Y
C1_FDSW202534412_1r,663970.5361,1292708.1
CXD_0204_FDSW210423206_1r,663970.5361,1292708.1
CXD_0209_FDSW210423211_1r,663970.5361,1292708.1
CXD_0210_FDSW210423212_1r,663970.5361,1292708.1
CXD_0213_FDSW210423215_1r,663970.5361,1292708.1
CXD_0214_FDSW210423216_1r,663970.5361,1292708.1
CXD_0215_FDSW210423217_1r,663970.5361,1292708.1
CXD_0801_FDSW210423161_1r,663970.5361,1292708.1
CXD_0802_FDSW210423162_1r,663970.5361,1292708.1
CXD_0803_FDSW210423163_1r,663970.5361,1292708.1
CXD_0804_FDSW210423164_1r,663970.5361,1292708.1
CXD_0805_FDSW210423165_1r,663970.5361,1292708.1
CXD_0807_FDSW210423167_1r,663970.5361,1292708.1
CXD_1001_FDSW210423173_1r,663970.5361,1292708.1
CXD_1003_FDSW210423175_1r,663970.5361,1292708.1
CXD_1004_FDSW210423176_1r,663970.5361,1292708.1
CXD_1007_FDSW210423179_1r,663970.5361,1292708.1
CXD_1009_FDSW210423181_1r,663970.5361,1292708.1
CXD_1015_FDSW210423187_1r,663970.5361,1292708.1
CXD_1201_FDSW210423188_1r,663970.5361,1292708.1
CXD_1202_FDSW210423189_1r,663970.5361,1292708.1
CXD_1203_FDSW210423190_1r,663970.5361,1292708.1
CXD_1213_FDSW210423200_1r,663970.5361,1292708.1
CXD_1214_FDSW210423201_1r,663970.5361,1292708.1
CXD_1215_FDSW210423202_1r,663970.5361,1292708.1
CXD_1401_FDSW210423218_1r,663970.5361,1292708.1
CXD_1402_FDSW210423219_1r,663970.5361,1292708.1
CXD_1408_FDSW210423225_1r,663970.5361,1292708.1
CXD_1412_FDSW210423229_1r,663970.5361,1292708.1
CXD_1414_FDSW210423231_1r,663970.5361,1292708.1
CXD_1415_FDSW210423232_1r,663970.5361,1292708.1
CXD_1604_FDSW210423236_1r,663970.5361,1292708.1
CXD_1609_FDSW210423241_1r,663970.5361,1292708.1
CXD_1610_FDSW210423242_1r,663970.5361,1292708.1
CXD_1611_FDSW210423243_1r,663970.5361,1292708.1
CXD_1612_FDSW210423244_1r,663970.5361,1292708.1
CXD_1613_FDSW210423245_1r,663970.5361,1292708.1
DD1_FDSW220008388_1r,785216.4196,1620119.143
DD11_FDSW220008398_1r,785216.4196,1620119.143
