name1,name2,D.ij.bray,G.ij.bray,Ds.ij.bray,Gs.ij.bray,C.ij.bray,E.ij.bray,ST.ij.bray,MST.ij.bray,SES.bray,RC.bray
1,A1-20-normal,A1-100-normal,0.52279478,0.71686363698,0.52279478,0.71686363698,0.47720522,0.28313636302,0.593322015672838,0.432698265962529,-2.45456128842133,-0.988
2,A1-40-normal,A1-100-normal,0.25289055,0.58112328755,0.25289055,0.58112328755,0.74710945,0.41887671245,0.560663116294406,0.243986787110484,-4.88532316777979,-1
3,A1-60-normal,A1-100-normal,0.28962405,0.57125827178,0.28962405,0.57125827178,0.71037595,0.42874172822,0.603542009298034,0.305991684870259,-4.35757003340013,-1
4,A1-80-normal,A1-100-normal,0.22373135,0.57589629788,0.22373135,0.57589629788,0.77626865,0.42410370212,0.546336248565493,0.21224749472337,-4.97344176564003,-1
5,A3-100-normal,A1-100-normal,0.30954731,0.6062533342,0.30954731,0.6062533342,0.69045269,0.3937466658,0.570273201195001,0.291176188957282,-4.36256417288022,-1
6,A3-20-normal,A1-100-normal,0.36983189,0.59336646788,0.36983189,0.59336646788,0.63016811,0.40663353212,0.645277864219438,0.402187088448181,-3.34703691533205,-1
7,A3-40-normal,A1-100-normal,0.29381928,0.596544,0.29381928,0.596544,0.70618072,0.403456,0.571321176822839,0.281396136450688,-4.05143151810299,-1
8,A3-60-normal,A1-100-normal,0.52049405,0.63655963179,0.52049405,0.63655963179,0.47950595,0.36344036821,0.75794756709484,0.619749005722354,-2.37615898220333,-0.998
9,A3-80-normal,A1-100-normal,0.50391513,0.6531563977,0.50391513,0.6531563977,0.49608487,0.3468436023,0.699161823459764,0.53940866598016,-3.08087671858283,-1
10,A5-100-normal,A1-100-normal,0.30872746,0.64224242386,0.30872746,0.64224242386,0.69127254,0.35775757614,0.517534771654607,0.248780195108126,-4.66742630317388,-1
11,A5-20-normal,A1-100-normal,0.43537515,0.61505454543,0.43537515,0.61505454543,0.56462485,0.38494545457,0.681772073209318,0.482602105528378,-2.37721118358132,-0.99
12,A5-40-normal,A1-100-normal,0.4860754,0.61710890889,0.4860754,0.61710890889,0.5139246,0.38289109111,0.745033592690445,0.586837260592842,-2.48853254010728,-0.998
13,A5-60-normal,A1-100-normal,0.40768746,0.60153409033,0.40768746,0.60153409033,0.59231254,0.39846590967,0.672729146794697,0.455939640884255,-3.3612222305969,-1
14,A5-80-normal,A1-100-normal,0.24669333,0.60447058674,0.24669333,0.60447058674,0.75330667,0.39552941326,0.525057627937902,0.214283734426959,-4.7991520627305,-1
15,B1-100-normal,A1-100-normal,0.37476161,0.58995275093,0.37476161,0.58995275093,0.62523839,0.41004724907,0.655825450945199,0.416606586693179,-2.89515225277566,-1
16,B1-20-normal,A1-100-normal,0.35309148,0.56229008057,0.35309148,0.56229008057,0.64690852,0.43770991943,0.676617954312922,0.424883957833185,-3.27341098358703,-1
17,B1-40-normal,A1-100-normal,0.316056,0.57093243176,0.316056,0.57093243176,0.683944,0.42906756824,0.627343127858421,0.347283756515989,-3.88453895421387,-1
18,B1-60-normal,A1-100-normal,0.5439384,0.64838596239,0.5439384,0.64838596239,0.4560616,0.35161403761,0.770979265980736,0.64678332458791,-2.26948803895645,-0.982
19,B1-80-normal,A1-100-normal,0.65533718,0.71844217829,0.65533718,0.71844217829,0.34466282,0.28155782171,0.816908019582733,0.745154187838674,-1.76698031046201,-0.948
20,B3-100-normal,A1-100-normal,0.36293586,0.62363809592,0.36293586,0.62363809592,0.63706414,0.37636190408,0.590775528630445,0.343810979401666,-3.39663634386332,-1
21,B3-20-normal,A1-100-normal,0.42310077,0.57040625,0.42310077,0.57040625,0.57689923,0.42959375,0.744659946937353,0.552354040541024,-2.19302040098455,-0.968
22,B3-40-normal,A1-100-normal,0.50620801,0.6198293867,0.50620801,0.6198293867,0.49379199,0.3801706133,0.769900324426081,0.62876933473745,-2.32897465959239,-0.996
23,B3-60-normal,A1-100-normal,0.39126887,0.60425301194,0.39126887,0.60425301194,0.60873113,0.39574698806,0.650117873978287,0.420967510118997,-3.23876958519085,-1
24,B3-80-normal,A1-100-normal,0.44258971,0.62742245674,0.44258971,0.62742245674,0.55741029,0.37257754326,0.668408082778666,0.471501356607094,-3.01341290397017,-1
