,Hes,Hos,DL,HD,DR,
GD.ZH.2021.05.15.bin.3,18.21766562,0.985804416,53.27287066,0,27.52365931,GD.ZH.2021.05.15.bin.3 27.5236593059937 0 53.2728706624606 0.985804416403785 18.217665615142
HN.SY.2021.04.15.bin.4,2.343434343,7.090909091,10.56565657,0.080808081,79.91919192,HN.SY.2021.04.15.bin.4 79.9191919191919 0.0808080808080808 10.5656565656566 7.09090909090909 2.34343434343434
JS.LYG.2021.05.15.bin.1,35.95166163,0,15.70996979,0,48.33836858,JS.LYG.2021.05.15.bin.1 48.3383685800604 0 15.7099697885196 0 35.9516616314199
JS.LYG.2021.05.15.bin.5,7.189620283,0.535650518,0.452327104,12.02237829,79.80002381,JS.LYG.2021.05.15.bin.5 79.8000238066897 12.022378288299 0.4523271039162 0.535650517795501 7.18962028329961
JS.YC.2021.05.15.bin.10,5.708460754,0,93.98572885,0,0.305810398,JS.YC.2021.05.15.bin.10 0.305810397553517 0 93.9857288481142 0 5.70846075433231
JS.YC.2021.05.15.bin.12,20.46153846,1.692307692,0.153846154,0,77.69230769,JS.YC.2021.05.15.bin.12 77.6923076923077 0 0.153846153846154 1.69230769230769 20.4615384615385
JS.YC.2021.05.15.bin.4,5.384615385,0.076923077,94.30769231,0,0.230769231,JS.YC.2021.05.15.bin.4 0.230769230769231 0 94.3076923076923 0.0769230769230769 5.38461538461538
JS.YC.2021.05.15.bin.5,6.846153846,2.153846154,15.15384615,0,75.84615385,JS.YC.2021.05.15.bin.5 75.8461538461538 0 15.1538461538462 2.15384615384615 6.84615384615385
JS.YC.2021.05.15.bin.6,0.087642419,0.876424189,8.676599474,0.262927257,90.09640666,JS.YC.2021.05.15.bin.6 90.0964066608238 0.262927256792287 8.67659947414549 0.876424189307625 0.0876424189307625
JS.YC.2021.05.15.bin.7,0.230769231,2.153846154,0.461538462,0,97.15384615,JS.YC.2021.05.15.bin.7 97.1538461538462 0 0.461538461538462 2.15384615384615 0.230769230769231
LN.DD.2021.06.15.bin.1,6.230769231,0.076923077,20.61538462,0,73.07692308,LN.DD.2021.06.15.bin.1 73.0769230769231 0 20.6153846153846 0.0769230769230769 6.23076923076923
LN.DD.2021.06.15.bin.10,1.618685497,2.748506247,6.3878327,0.564910375,88.68006518,LN.DD.2021.06.15.bin.10 88.6800651819663 0.564910374796306 6.38783269961977 2.74850624660511 1.61868549701249
LN.DD.2021.06.15.bin.2,3.873598369,1.019367992,21.10091743,0,74.00611621,LN.DD.2021.06.15.bin.2 74.0061162079511 0 21.1009174311927 1.01936799184506 3.87359836901121
LN.DD.2021.06.15.bin.6,8.77914952,1.028806584,51.92043896,0,38.27160494,LN.DD.2021.06.15.bin.6 38.2716049382716 0 51.920438957476 1.02880658436214 8.77914951989026
LN.DD.2021.06.15.bin.8,3.538461538,0,48.46153846,0,48,LN.DD.2021.06.15.bin.8 48 0 48.4615384615385 0 3.53846153846154
LN.DD.2021.06.15.bin.9,3.538461538,0,48.46153846,0,48,LN.DD.2021.06.15.bin.9 48 0 48.4615384615385 0 3.53846153846154
SD.DY.2021.06.15.bin.1,4.90797546,1.840490798,93.16389132,0,0.087642419,SD.DY.2021.06.15.bin.1 0.0876424189307625 0 93.1638913234005 1.84049079754601 4.9079754601227
SD.DY.2021.06.15.bin.6,38.47502191,1.752848379,11.39351446,0,48.37861525,SD.DY.2021.06.15.bin.6 48.3786152497809 0 11.3935144609991 1.75284837861525 38.4750219106047
SD.QD.2020.06.15.bin.11,4.153354633,0,24.2172524,0.766773163,70.86261981,SD.QD.2020.06.15.bin.11 70.8626198083067 0.766773162939297 24.2172523961661 0 4.15335463258786
SD.QD.2020.06.15.bin.13,5.178289419,0,0.315850719,12.89169645,81.61416341,SD.QD.2020.06.15.bin.13 81.6141634111878 12.8916964508353 0.315850718975979 0 5.17828941900091
SD.QD.2020.06.15.bin.14,7.074743438,34.25665244,12.74180365,0,45.92680047,SD.QD.2020.06.15.bin.14 45.926800472255 0 12.7418036508946 34.2566524384706 7.0747434383798
SD.QD.2020.06.15.bin.20,10.7120743,8.85E-03,0,5.510835913,83.76824414,SD.QD.2020.06.15.bin.20 83.7682441397612 5.51083591331269 0 0.00884564352056612 10.7120743034056
SD.QD.2020.06.15.bin.23,0.767918089,0.358361775,3.839590444,0.819112628,94.21501706,SD.QD.2020.06.15.bin.23 94.2150170648464 0.819112627986348 3.83959044368601 0.358361774744027 0.767918088737201
SD.QD.2020.06.15.bin.26,0.23715415,0,13.2312253,5.128458498,81.40316206,SD.QD.2020.06.15.bin.26 81.403162055336 5.12845849802372 13.2312252964427 0 0.237154150197628
SD.QD.2020.06.15.bin.29,6.944717686,1.9476687,8.577611647,0.019673421,82.51032855,SD.QD.2020.06.15.bin.29 82.5103285461342 0.0196734212079481 8.57761164666535 1.94766869958686 6.94471768640567
SD.QD.2020.06.15.bin.35,0.464330941,4.736175602,4.136766568,1.975517096,88.68720979,SD.QD.2020.06.15.bin.35 88.6872097931617 1.97551709582102 4.13676656817222 4.73617560151963 0.464330941325454
SD.QD.2020.06.15.bin.37,4.156439208,3.109147439,24.79135984,0.572737686,67.37031582,SD.QD.2020.06.15.bin.37 67.3703158239241 0.572737686139748 24.7913598429062 3.10914743904435 4.1564392079856
SD.QD.2020.06.15.bin.38,4.611528822,4.686716792,0.659983292,2.431077694,87.6106934,SD.QD.2020.06.15.bin.38 87.6106934001671 2.43107769423559 0.659983291562239 4.68671679197995 4.61152882205514
SD.QD.2020.06.15.bin.4,0.139062717,11.97329996,5.284383257,0.069531359,82.53372271,SD.QD.2020.06.15.bin.4 82.5337227089417 0.0695313586427479 5.28438325684884 11.9732999582812 0.139062717285496
SD.QD.2020.06.15.bin.40,17.93859649,0.657894737,0,1.885964912,79.51754386,SD.QD.2020.06.15.bin.40 79.5175438596491 1.8859649122807 0 0.657894736842105 17.9385964912281
SD.QD.2020.06.15.bin.41,4.997060553,0.891632373,0.068587106,12.80619244,81.23652753,SD.QD.2020.06.15.bin.41 81.2365275328238 12.8061924358221 0.0685871056241427 0.891632373113855 4.99706055261611
SD.QD.2020.06.15.bin.44,14.74524146,14.72861774,4.263984706,8.31E-03,66.25384424,SD.QD.2020.06.15.bin.44 66.2538442357244 0.00831186102568365 4.26398470617571 14.7286177375114 14.7452414595628
SD.QD.2020.06.15.bin.6,0.14371946,0.086231676,12.24489796,2.17016384,85.35498707,SD.QD.2020.06.15.bin.6 85.3549870652486 2.17016384018396 12.2448979591837 0.0862316757688991 0.143719459614832
SD.QD.2020.06.15.bin.7,0.321864595,0.033296337,4.3618202,2.552719201,92.73029967,SD.QD.2020.06.15.bin.7 92.7302996670366 2.5527192008879 4.36182019977802 0.0332963374028857 0.321864594894562
SD.QD.2020.08.15.bin.3,18.13889435,0,9.876057446,0.019673421,71.96537478,SD.QD.2020.08.15.bin.3 71.965374778674 0.0196734212079481 9.87605744638993 0 18.1388943537281
SD.QD.2020.12.15.bin.6,0.716723549,0,20.56313993,2.133105802,76.58703072,SD.QD.2020.12.15.bin.6 76.5870307167235 2.13310580204778 20.5631399317406 0 0.716723549488055
SD.QD.2021.02.15.bin.4,2.73556231,0,58.66261398,0,38.60182371,SD.QD.2021.02.15.bin.4 38.6018237082067 0 58.6626139817629 0 2.7355623100304
SD.QD.2021.02.15.bin.5,8.356860531,1.185770751,34.3308865,0.056465274,56.07001694,SD.QD.2021.02.15.bin.5 56.0700169395822 0.0564652738565782 34.3308865047995 1.18577075098814 8.35686053077357
SD.QD.2023.07.100.ultra.bin.1,12,0,0,6.70846395,81.29153605,SD.QD.2023.07.100.ultra.bin.1 81.2915360501567 6.70846394984326 0 0 12
SD.QD.2023.07.100.ultra.bin.3,1.051212938,0.889487871,6.455525606,0.700808625,90.90296496,SD.QD.2023.07.100.ultra.bin.3 90.9029649595687 0.700808625336927 6.455525606469 0.889487870619946 1.05121293800539
