"","sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"1","BH4_FDSW220017124-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"2","BH6_FDSW220017126-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"3","BH8_FDSW220017128-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"4","BH10_FDSW220017130-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"5","BH12_FDSW220017132-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"6","BH14_FDSW220017134-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"7","BH15_FDSW220017135-1r","BH2_FDSW220017122-1r",0,1,0,0,0
"8","DD1_FDSW220008388-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"9","DD3_FDSW220008390-2r","BH2_FDSW220017122-1r",0,0,0,0,1
"10","DD5_FDSW220008392-2r","BH2_FDSW220017122-1r",0,0,0,0,1
"11","DD7_FDSW220008394-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"12","DD9_FDSW220008396-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"13","DD13_FDSW220008400-2r","BH2_FDSW220017122-1r",0,0,0,0,1
"14","LYG1_FDME210455382-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"15","LYG3_FDME210455384-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"16","LYG5_FDME210455386-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"17","LYG6_FDME210455387-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"18","LYG7_FDME210455388-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"19","LYG11_FDME210455392-2r","BH2_FDSW220017122-1r",0,0,0,0,1
"20","LYG13_FDME210455394-1a","BH2_FDSW220017122-1r",0,0,0,0,1
"21","NB1_FDME210455352-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"22","NB2_FDME210455353-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"23","NB4_FDME210455355-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"24","NB6_FDME210455357-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"25","NB7_FDME210455358-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"26","NB11_FDME210455362-1b","BH2_FDSW220017122-1r",0,0,0,0,1
"27","NB12_FDME210455363-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"28","NB15_FDME210455366-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"29","SY3_FDME210455399-2a","BH2_FDSW220017122-1r",0,0,0,0,1
"30","SY7_FDME210455403-2a","BH2_FDSW220017122-1r",0,0,0,0,1
"31","SY9_FDME210455405-2a","BH2_FDSW220017122-1r",0,0,0,0,1
"32","SY11_FDME210455407-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"33","SY12_FDME210455408-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"34","SY13_FDME210455409-2a","BH2_FDSW220017122-1r",0,0,0,0,1
"35","SY15_FDME210455411-2a","BH2_FDSW220017122-1r",0,0,0,0,1
"36","ST1_FDME220007465-1r","BH2_FDSW220017122-1r",0,0,0,0.0114786570023393,0.988521342997661
"37","ST3_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"38","ST7_FDME220007471-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"39","ST9_L1","BH2_FDSW220017122-1r",0,0,0.5,0,0.5
"40","ST10_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"41","ST12_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"42","ST13_L1","BH2_FDSW220017122-1r",0,0,0.5,0,0.5
"43","ST15_L1","BH2_FDSW220017122-1r",0,0,0.5,0,0.5
"44","WZ1_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"45","WZ3_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"46","WZ5_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"47","WZ7_FDME210455463-1r","BH2_FDSW220017122-1r",0,0,0,0,1
"48","WZ10_L1","BH2_FDSW220017122-1r",0,0,0,0,1
"49","WZ11_L1","BH2_FDSW220017122-1r",0,0,0,0,1
