name1,name2,D.ij.bray,G.ij.bray,Ds.ij.bray,Gs.ij.bray,C.ij.bray,E.ij.bray,ST.ij.bray,MST.ij.bray,SES.bray,RC.bray
1,BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.056992328,0.89712745074,0.056992328,0.89712745074,0.943007672,0.10287254926,0.109089832791944,0.00693021211959934,-4.46243881594508,-1
2,BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.381778419,0.93696598675,0.381778419,0.93696598675,0.618221581,0.06303401325,0.101960227832939,0.0415449601516065,-4.35287934449512,-0.996
3,BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.49354657,0.92965986446,0.49354657,0.92965986446,0.50645343,0.07034013554,0.138887667401127,0.0737339907654757,-3.12835949983218,-0.964
4,BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.105836624,0.91122033787,0.105836624,0.91122033787,0.894163376,0.08877966213,0.0992879651671173,0.0115321208278567,-4.73456980197563,-1
5,BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.392688436,0.93252413919,0.392688436,0.93252413919,0.607311564,0.06747586081,0.111105838929818,0.0467869691370303,-4.1694711781094,-0.998
6,BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.631907478,0.96501666701,0.631907478,0.96501666701,0.368092522,0.03498333299,0.0950395101751076,0.0622333056393577,-4.61397869624264,-1
7,BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.607079385,0.953952,0.607079385,0.953952,0.392920615,0.046048,0.117194156381945,0.0745804363132998,-3.86380095633593,-0.996
8,DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,1,0.99058252244,1,0.99058252244,0,0.00941747756,0.99058252244,0,0.327585549679474,0.097
9,DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,1,0.99781818378,1,0.99781818378,0,0.00218181622000002,0.99781818378,0,0.347786079293957,0.108
10,DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,1,0.9941188155,1,0.9941188155,0,0.00588118449999997,0.9941188155,0,0.33131259486486,0.099
11,DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,1,0.9974747497,1,0.9974747497,0,0.00252525030000006,0.9974747497,0,0.377775443503511,0.125
12,DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,1,0.99834343568,1,0.99834343568,0,0.00165656432000005,0.99834343568,0,0.298722771340983,0.082
13,DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,1,0.99612,1,0.99612,0,0.00387999999999999,0.99612,0,0.327585549679475,0.097
14,DY2_FDME210438600-1b,BH2_FDSW220017122-1r,1,0.96684297441,1,0.96684297441,0,0.03315702559,0.96684297441,0,0.318037318475044,0.098
15,DY6_FDME210438604-1r,BH2_FDSW220017122-1r,1,0.96132026177,1,0.96132026177,0,0.03867973823,0.96132026177,0,0.276852292857087,0.087
16,DY7_FDME210438605-1r,BH2_FDSW220017122-1r,1,0.96274015807,1,0.96274015807,0,0.03725984193,0.96274015807,0,0.31229202969826,0.095
17,DY10_FDME210438608-1r,BH2_FDSW220017122-1r,1,0.95392805583,1,0.95392805583,0,0.04607194417,0.95392805583,0,0.318588493118894,0.106
18,DY11_FDME210438609-1r,BH2_FDSW220017122-1r,1,0.97568965645,1,0.97568965645,0,0.0243103435499999,0.97568965645,0,0.300517995114566,0.087
19,DY13_FDME210438611-1b,BH2_FDSW220017122-1r,1,0.96458914534,1,0.96458914534,0,0.03541085466,0.96458914534,0,0.297396016667228,0.089
20,DY15_FDME210438613-1r,BH2_FDSW220017122-1r,1,0.96174803207,1,0.96174803207,0,0.03825196793,0.96174803207,0,0.312793062479252,0.095
21,LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,1,0.90170786347,1,0.90170786347,0,0.09829213653,0.90170786347,0,0.953335532971195,0.743
22,LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,1,0.88490908805,1,0.88490908805,0,0.11509091195,0.88490908805,0,0.933101428222058,0.734
23,LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,1,0.92802702693,1,0.92802702693,0,0.0719729730699999,0.92802702693,0,0.768423665246085,0.55
24,LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,1,0.9514803124,1,0.9514803124,0,0.0485196876,0.9514803124,0,0.782879769328621,0.561
25,LYG7_FDME210455388-1r,BH2_FDSW220017122-1r,1,0.96460344557,1,0.96460344557,0,0.03539655443,0.96460344557,0,0.763232604966897,0.523
26,LYG11_FDME210455392-2r,BH2_FDSW220017122-1r,1,0.92239240425,1,0.92239240425,0,0.07760759575,0.92239240425,0,0.674843950360229,0.461
27,LYG13_FDME210455394-1a,BH2_FDSW220017122-1r,1,0.88524873141,1,0.88524873141,0,0.11475126859,0.88524873141,0,0.726850194409957,0.52
28,NB1_FDME210455352-1r,BH2_FDSW220017122-1r,1,0.90368181857,1,0.90368181857,0,0.09631818143,0.90368181857,0,0.984839341579249,0.749
29,NB2_FDME210455353-1r,BH2_FDSW220017122-1r,1,0.95277778134,1,0.95277778134,0,0.04722221866,0.95277778134,0,0.848247209239815,0.597
30,NB4_FDME210455355-1r,BH2_FDSW220017122-1r,1,0.90436781316,1,0.90436781316,0,0.09563218684,0.90436781316,0,0.923642396344935,0.729
31,NB6_FDME210455357-1r,BH2_FDSW220017122-1r,1,0.89299476647,1,0.89299476647,0,0.10700523353,0.89299476647,0,0.970574728750646,0.739
32,NB7_FDME210455358-1r,BH2_FDSW220017122-1r,1,0.900081399,1,0.900081399,0,0.0999186010000001,0.900081399,0,0.881993336233288,0.667
33,NB11_FDME210455362-1b,BH2_FDSW220017122-1r,1,0.8920609137,1,0.8920609137,0,0.1079390863,0.8920609137,0,0.954456017474918,0.722
