qname	tname	aai	qTax	tTax
SRX802073.99.dc	NC.028461	24.825	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	JS.YC.2021.05.15.bin.6	25.08461538	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.008187	25.09333333	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.008187	25.33125	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.055165	25.34583333	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	GCA.004788555.1.ASM478855v1.genomic	25.34583333	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.033423	25.41052632	Imitervirales	Pimascovirales
SRX802073.99.dc	GCA.001974475.1.ViralProj368971.genomic	25.41052632	Imitervirales	Pimascovirales
NC.020104	JS.YC.2021.05.15.bin.4	25.44666667	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.040612	25.48695652	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.005902	25.73	Imitervirales	Pimascovirales
NC.016072	JS.YC.2021.05.15.bin.4	25.76875	Imitervirales	Asfuvirales
NC.020104	NC.008187	25.85333333	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.055603	25.93333333	Imitervirales	Pimascovirales
GCA.002966235.1.ASM296623v1.genomic	JS.YC.2021.05.15.bin.10	25.97894737	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.008187	26.05625	Imitervirales	Pimascovirales
GCA.002966275.1.ASM296627v1.genomic	NC.055603	26.18235294	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.024451	26.21612903	Imitervirales	Pimascovirales
NC.016072	JS.YC.2021.05.15.bin.10	26.24117647	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.044947	26.27647059	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.044955	26.27647059	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.044943	26.28823529	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.044942	26.28823529	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.044941	26.28823529	Imitervirales	Asfuvirales
SRX802202.77.dc	JS.YC.2021.05.15.bin.4	26.33333333	Imitervirales	Asfuvirales
NC.020104	JS.YC.2021.05.15.bin.10	26.4125	Imitervirales	Asfuvirales
NC.023639	NC.044951	26.43888889	Imitervirales	Asfuvirales
NC.023639	NC.044952	26.52777778	Imitervirales	Asfuvirales
NC.023639	NC.044950	26.52777778	Imitervirales	Asfuvirales
JS.YC.2021.05.15.bin.4	SRX696246.4.dc	26.53333333	Asfuvirales	Imitervirales
NC.023639	NC.044953	26.53333333	Imitervirales	Asfuvirales
NC.023639	NC.044947	26.55	Imitervirales	Asfuvirales
NC.023639	NC.044955	26.55	Imitervirales	Asfuvirales
NC.023639	NC.044943	26.55555556	Imitervirales	Asfuvirales
NC.023639	NC.044942	26.55555556	Imitervirales	Asfuvirales
NC.023639	NC.044941	26.55555556	Imitervirales	Asfuvirales
NC.016072	NC.044951	26.56470588	Imitervirales	Asfuvirales
SRX696246.4.dc	JS.YC.2021.05.15.bin.4	26.57727273	Imitervirales	Asfuvirales
GCA.002966235.1.ASM296623v1.genomic	JS.YC.2021.05.15.bin.6	26.58666667	Imitervirales	Pimascovirales
NC.023639	NC.044949	26.58888889	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.003038	26.60740741	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.005902	26.6125	Imitervirales	Pimascovirales
NC.023639	NC.044946	26.61666667	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.015780	26.62592593	Imitervirales	Pimascovirales
NC.023639	NC.044945	26.65555556	Imitervirales	Asfuvirales
NC.044943	SRX802202.77.dc	26.6625	Asfuvirales	Imitervirales
SRX802202.77.dc	NC.003038	26.67142857	Imitervirales	Pimascovirales
NC.023639	NC.044944	26.67222222	Imitervirales	Asfuvirales
SRX802202.7.dc	NC.028461	26.7	Imitervirales	Pimascovirales
NC.014649	NC.044951	26.71176471	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.024451	26.71612903	Imitervirales	Pimascovirales
NC.023639	NC.044954	26.74444444	Imitervirales	Asfuvirales
NC.044943	NC.023639	26.75625	Asfuvirales	Imitervirales
GCA.002966235.1.ASM296623v1.genomic	JS.YC.2021.05.15.bin.4	26.775	Imitervirales	Asfuvirales
NC.014649	NC.044949	26.79411765	Imitervirales	Asfuvirales
NC.014649	NC.044952	26.8	Imitervirales	Asfuvirales
SRX802073.62.dc	NC.028461	26.80833333	Imitervirales	Pimascovirales
NC.016072	NC.044954	26.81764706	Imitervirales	Asfuvirales
NC.014649	NC.044947	26.86470588	Imitervirales	Asfuvirales
NC.014649	NC.044955	26.86470588	Imitervirales	Asfuvirales
NC.014649	NC.044943	26.87058824	Imitervirales	Asfuvirales
NC.014649	NC.044942	26.87058824	Imitervirales	Asfuvirales
NC.014649	NC.044941	26.87058824	Imitervirales	Asfuvirales
NC.016072	NC.044949	26.87058824	Imitervirales	Asfuvirales
NC.014649	NC.044946	26.87647059	Imitervirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	NC.021901	26.88421053	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.023613	26.8862069	Imitervirales	Pimascovirales
NC.014649	NC.044944	26.89411765	Imitervirales	Asfuvirales
GCA.002966255.1.ASM296625v1.genomic	NC.044951	26.92352941	Imitervirales	Asfuvirales
NC.014649	NC.044954	26.94117647	Imitervirales	Asfuvirales
NC.016072	NC.044942	26.95294118	Imitervirales	Asfuvirales
NC.016072	NC.044944	26.95294118	Imitervirales	Asfuvirales
NC.020104	NC.044943	26.95625	Imitervirales	Asfuvirales
NC.016072	NC.044952	26.96470588	Imitervirales	Asfuvirales
NC.020104	NC.044944	26.97058824	Imitervirales	Asfuvirales
GCA.002966255.1.ASM296625v1.genomic	NC.044949	26.98235294	Imitervirales	Asfuvirales
NC.016072	NC.044943	26.98823529	Imitervirales	Asfuvirales
NC.016072	NC.044946	26.98823529	Imitervirales	Asfuvirales
NC.016072	NC.044941	26.98823529	Imitervirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	NC.023611	27	Imitervirales	Pimascovirales
NC.020104	NC.044945	27	Imitervirales	Asfuvirales
NC.016072	NC.023848	27.01111111	Imitervirales	Pimascovirales
GCA.002966275.1.ASM296627v1.genomic	JS.YC.2021.05.15.bin.4	27.02	Imitervirales	Asfuvirales
GCA.002966255.1.ASM296625v1.genomic	NC.044952	27.02941176	Imitervirales	Asfuvirales
NC.016072	NC.044947	27.03529412	Imitervirales	Asfuvirales
NC.016072	NC.044955	27.03529412	Imitervirales	Asfuvirales
NC.014649	NC.024451	27.09565217	Imitervirales	Pimascovirales
NC.044943	GCA.002966255.1.ASM296625v1.genomic	27.125	Asfuvirales	Imitervirales
NC.020104	NC.024451	27.12916667	Imitervirales	Pimascovirales
NC.016072	NC.023611	27.13684211	Imitervirales	Pimascovirales
GCA.002966255.1.ASM296625v1.genomic	JS.YC.2021.05.15.bin.4	27.15	Imitervirales	Asfuvirales
SRX802202.7.dc	NC.008187	27.15294118	Imitervirales	Pimascovirales
ERX552300.8.dc	NC.008187	27.21333333	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.021901	27.265	Imitervirales	Pimascovirales
NC.044945	SRX802073.99.dc	27.275	Asfuvirales	Imitervirales
NC.044952	SRX802073.99.dc	27.28947368	Asfuvirales	Imitervirales
SRX696246.4.dc	SD.QD.2020.06.15.bin.29	27.30625	Imitervirales	Pandoravirales
GCA.002966405.1.ASM296640v1.genomic	NC.021901	27.32258065	Imitervirales	Pimascovirales
NC.020104	NC.044946	27.32352941	Imitervirales	Asfuvirales
NC.044944	SRX802073.99.dc	27.325	Asfuvirales	Imitervirales
GCA.002966275.1.ASM296627v1.genomic	NC.003038	27.33181818	Imitervirales	Pimascovirales
ERX556094.26.dc	NC.023848	27.33888889	Imitervirales	Pimascovirales
SRX696246.4.dc	JS.YC.2021.05.15.bin.6	27.34705882	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.008187	27.35294118	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.023848	27.35517241	Imitervirales	Pimascovirales
JS.YC.2021.05.15.bin.6	GCA.002966235.1.ASM296623v1.genomic	27.36428571	Pimascovirales	Imitervirales
GCA.002966255.1.ASM296625v1.genomic	NC.044943	27.36875	Imitervirales	Asfuvirales
SRX802073.99.dc	JS.YC.2021.05.15.bin.6	27.37692308	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.023611	27.38	Imitervirales	Pimascovirales
NC.044946	SRX802073.99.dc	27.41578947	Asfuvirales	Imitervirales
SRX696246.4.dc	NC.024451	27.41785714	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044953	27.43571429	Imitervirales	Asfuvirales
NC.044951	SRX802073.99.dc	27.44210526	Asfuvirales	Imitervirales
NC.044949	GCA.002966405.1.ASM296640v1.genomic	27.45294118	Asfuvirales	Imitervirales
SRX802073.62.dc	NC.008187	27.45294118	Imitervirales	Pimascovirales
NC.044950	SRX802073.99.dc	27.45555556	Asfuvirales	Imitervirales
NC.044947	SRX802073.99.dc	27.46666667	Asfuvirales	Imitervirales
NC.044955	SRX802073.99.dc	27.46666667	Asfuvirales	Imitervirales
NC.044943	SRX802073.99.dc	27.47777778	Asfuvirales	Imitervirales
NC.044942	SRX802073.99.dc	27.47777778	Asfuvirales	Imitervirales
NC.044941	SRX802073.99.dc	27.47777778	Asfuvirales	Imitervirales
NC.044953	SRX802073.99.dc	27.47777778	Asfuvirales	Imitervirales
NC.044949	SRX802073.99.dc	27.48421053	Asfuvirales	Imitervirales
GCA.002966405.1.ASM296640v1.genomic	NC.023611	27.484375	Imitervirales	Pimascovirales
NC.044943	GCA.002966405.1.ASM296640v1.genomic	27.48823529	Asfuvirales	Imitervirales
NC.044941	GCA.002966405.1.ASM296640v1.genomic	27.48823529	Asfuvirales	Imitervirales
NC.044947	GCA.002966405.1.ASM296640v1.genomic	27.48823529	Asfuvirales	Imitervirales
NC.044955	GCA.002966405.1.ASM296640v1.genomic	27.48823529	Asfuvirales	Imitervirales
SRX696246.4.dc	NC.023611	27.50952381	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044947	27.525	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044955	27.525	Imitervirales	Asfuvirales
SRX802073.62.dc	NC.005902	27.52666667	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.003038	27.53181818	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044943	27.53214286	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044942	27.53214286	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044941	27.53214286	Imitervirales	Asfuvirales
NC.044952	GCA.002966405.1.ASM296640v1.genomic	27.53333333	Asfuvirales	Imitervirales
JS.YC.2021.05.15.bin.4	GCA.002966235.1.ASM296623v1.genomic	27.53333333	Asfuvirales	Imitervirales
SRX802073.99.dc	NC.003038	27.53333333	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.023848	27.54705882	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044952	27.57857143	Imitervirales	Asfuvirales
NC.044944	GCA.002966405.1.ASM296640v1.genomic	27.58823529	Asfuvirales	Imitervirales
JS.YC.2021.05.15.bin.10	SRX696246.4.dc	27.6	Asfuvirales	Imitervirales
GCA.002966405.1.ASM296640v1.genomic	NC.044953	27.61666667	Imitervirales	Asfuvirales
NC.044951	GCA.002966405.1.ASM296640v1.genomic	27.62352941	Asfuvirales	Imitervirales
SRX802073.99.dc	NC.044951	27.62592593	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.044947	27.62777778	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.044955	27.62777778	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.008187	27.63636364	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.044943	27.63888889	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.044942	27.63888889	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	NC.044941	27.63888889	Imitervirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	NC.023848	27.64090909	Imitervirales	Pimascovirales
SRX696246.4.dc	NC.023613	27.64782609	Imitervirales	Pimascovirales
SRX802202.7.dc	NC.023848	27.65454545	Imitervirales	Pimascovirales
NC.044954	SRX802073.99.dc	27.68333333	Asfuvirales	Imitervirales
SRX696246.4.dc	NC.003038	27.692	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044949	27.69259259	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044950	27.69473684	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.021901	27.70952381	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.044951	27.71666667	Imitervirales	Asfuvirales
